,Date,Open,High,Low,Close,Adj Close,Volume,sma20,sma100,sma200,bb_bbh,bb_bbl,sma_100_200_diff,bb_diff,sma_100_200_diff_buy,sma_100_200_diff_sell,bb_diff_buy,bb_diff_sell,sma_100_buy,sma_100_sell,sma_200_buy,sma_200_sell,sma_100_bb_bbh_buy,sma_200_bb_bbh_buy,sma_100_bb_bbl_sell,sma_200_bb_bbl_sell,BUY_SELL_FLAG,BUY_SELL_SIGNAL
84,2021-02-23,54204.929688,54204.929688,45290.589844,48824.425781,48824.425781,106102492824,47780.282422050004,33190.74825378823,33190.74825378823,59482.421013453095,36078.14383064691,0.0,23404.27718280618,0,0,1,0,1,0,1,0,1,1,1,1,_,-
85,2021-02-24,48835.085938,51290.136719,47213.5,49705.332031,49705.332031,63695521388,48419.2457033,33382.7782977093,33382.7782977093,59025.155067801985,37813.33633879802,0.0,21211.818729003964,0,0,1,0,1,0,1,0,1,1,1,1,_,-
86,2021-02-25,49709.082031,51948.96875,47093.851563,47093.851563,47093.851563,54506565949,48866.72285175,33540.37684098851,33540.37684098851,58401.96472911764,39331.48097438236,0.0,19070.48375473528,0,0,1,0,1,0,1,0,1,1,1,1,_,-
87,2021-02-26,47180.464844,48370.785156,44454.84375,46339.761719,46339.761719,350967941479,49220.41035175,33685.82439642045,33685.82439642045,57779.781469517024,40661.03923398297,0.0,17118.742235534053,0,0,1,0,1,0,1,0,1,1,1,1,_,-
88,2021-02-27,46344.773438,48253.269531,45269.027344,46188.453125,46188.453125,45910946382,49584.6609377,33826.30337089888,33826.30337089888,56884.16114344416,42285.16073195584,0.0,14599.00041148832,0,0,1,0,1,0,1,0,1,1,1,1,_,-
89,2021-02-28,46194.015625,46716.429688,43241.617188,45137.769531,45137.769531,53443887451,49531.726172049996,33951.98632823333,33951.98632823333,56943.23674538962,42120.21559871037,0.0,14823.021146679253,0,0,1,0,1,0,1,0,1,1,1,1,_,-
90,2021-03-01,45159.503906,49784.015625,45115.09375,49631.242188,49631.242188,53891300112,49689.233007999996,34124.28584317583,34124.28584317583,56967.418133287196,42411.047882712795,0.0,14556.3702505744,0,0,1,0,1,0,1,0,1,1,1,1,_,-
91,2021-03-02,49612.105469,50127.511719,47228.84375,48378.988281,48378.988281,47530897720,49862.27324235,34279.22826097826,34279.22826097826,56836.72467410408,42887.82181059592,0.0,13948.902863508163,0,0,1,0,1,0,1,0,1,1,1,1,_,-
92,2021-03-03,48415.816406,52535.136719,48274.320313,50538.242188,50538.242188,53220811975,49993.7187502,34454.056367720426,34454.056367720426,56914.878480755244,43072.55901964476,0.0,13842.319461110485,0,0,1,0,1,0,1,0,1,1,1,1,_,-
93,2021-03-04,50522.304688,51735.089844,47656.929688,48561.167969,48561.167969,52343816680,50046.5345705,34604.13202305319,34604.13202305319,56906.77088898079,43186.29825201921,0.0,13720.472636961582,0,0,1,0,1,0,1,0,1,1,1,1,_,-
94,2021-03-05,48527.03125,49396.429688,46542.515625,48927.304688,48927.304688,48625928883,50137.62402365,34754.90226163158,34754.90226163158,56886.718022841334,43388.53002445867,0.0,13498.187998382666,0,0,1,0,1,0,1,0,1,1,1,1,_,-
95,2021-03-06,48899.230469,49147.21875,47257.527344,48912.382813,48912.382813,34363564661,50147.37871115,34902.376017375,34902.376017375,56888.79266661762,43405.96475568238,0.0,13482.827910935244,0,0,1,0,1,0,1,0,1,1,1,1,_,-
96,2021-03-07,48918.679688,51384.367188,48918.679688,51206.691406,51206.691406,43137459378,50310.46035175,35070.46174303093,35070.46174303093,56988.3840957279,43632.5366077721,0.0,13355.847487955805,0,0,1,0,1,0,1,0,1,1,1,1,_,-
