Date,Open,High,Low,Close,Change(Pips),Change(%)
02/04/2022 03:45,114.922,114.931,114.902,114.909,-1.3,-0.01
02/04/2022 04:00,114.908,114.915,114.873,114.896,-1.2,-0.01
02/04/2022 04:15,114.896,114.915,114.886,114.908,1.2,0.01
02/04/2022 04:30,114.908,114.909,114.868,114.868,-4,-0.03
02/04/2022 04:45,114.87,114.89,114.869,114.886,1.6,0.01
02/04/2022 05:00,114.887,114.899,114.873,114.886,-0.1,0
02/04/2022 05:15,114.883,114.898,114.875,114.886,0.3,0
02/04/2022 05:30,114.889,114.914,114.88,114.908,1.9,0.02
02/04/2022 05:45,114.907,114.944,114.906,114.933,2.6,0.02
02/04/2022 06:00,114.935,114.953,114.909,114.949,1.4,0.01
02/04/2022 06:15,114.945,114.977,114.936,114.963,1.8,0.02
02/04/2022 06:30,114.959,114.981,114.947,114.976,1.7,0.01
02/04/2022 06:45,114.979,115.012,114.973,114.989,1,0.01
02/04/2022 07:00,114.987,114.991,114.929,114.942,-4.5,-0.04
02/04/2022 07:15,114.942,115.002,114.942,114.995,5.3,0.05
02/04/2022 07:30,114.993,115.012,114.972,115.002,0.9,0.01
02/04/2022 07:45,115.005,115.127,115,115.105,10,0.09
02/04/2022 08:00,115.1,115.148,115.08,115.101,0.1,0
02/04/2022 08:15,115.103,115.148,115.076,115.092,-1.1,-0.01
02/04/2022 08:30,115.091,115.117,115.038,115.042,-4.9,-0.04
02/04/2022 08:45,115.047,115.1,115.037,115.085,3.8,0.03
02/04/2022 09:00,115.086,115.098,115.048,115.076,-1,-0.01
02/04/2022 09:15,115.071,115.081,114.996,115.017,-5.4,-0.05
02/04/2022 09:30,115.013,115.031,114.962,114.971,-4.2,-0.04
02/04/2022 09:45,114.97,114.97,114.907,114.943,-2.7,-0.02
02/04/2022 10:00,114.94,114.955,114.896,114.918,-2.2,-0.02
02/04/2022 10:15,114.922,114.946,114.907,114.926,0.4,0
02/04/2022 10:30,114.925,114.974,114.917,114.939,1.4,0.01
02/04/2022 10:45,114.935,114.963,114.923,114.952,1.7,0.01
02/04/2022 11:00,114.956,114.963,114.919,114.921,-3.5,-0.03
02/04/2022 11:15,114.92,114.923,114.849,114.874,-4.6,-0.04
02/04/2022 11:30,114.871,114.888,114.848,114.875,0.4,0
02/04/2022 11:45,114.872,114.891,114.85,114.869,-0.3,0
02/04/2022 12:00,114.872,114.873,114.811,114.821,-5.1,-0.04
02/04/2022 12:15,114.821,114.862,114.773,114.858,3.7,0.03
02/04/2022 12:30,114.86,114.877,114.832,114.872,1.2,0.01
02/04/2022 12:45,114.871,114.915,114.871,114.91,3.9,0.03
02/04/2022 13:00,114.911,114.927,114.87,114.894,-1.7,-0.01
02/04/2022 13:15,114.902,114.932,114.867,114.909,0.7,0.01
02/04/2022 13:30,114.904,115.374,114.895,115.326,42.2,0.37
02/04/2022 13:45,115.326,115.39,115.274,115.362,3.6,0.03
02/04/2022 14:00,115.364,115.366,115.134,115.158,-20.6,-0.18
02/04/2022 14:15,115.159,115.304,115.152,115.296,13.7,0.12
02/04/2022 14:30,115.3,115.33,115.232,115.239,-6.1,-0.05
02/04/2022 14:45,115.241,115.357,115.238,115.346,10.5,0.09
02/04/2022 15:00,115.344,115.374,115.223,115.365,2.1,0.02
02/04/2022 15:15,115.364,115.427,115.263,115.263,-10.1,-0.09
02/04/2022 15:30,115.268,115.346,115.246,115.342,7.4,0.06
02/04/2022 15:45,115.34,115.347,115.245,115.271,-6.9,-0.06
02/04/2022 16:00,115.273,115.291,115.227,115.249,-2.4,-0.02
02/04/2022 16:15,115.247,115.266,115.204,115.235,-1.2,-0.01
02/04/2022 16:30,115.238,115.274,115.202,115.255,1.7,0.01
02/04/2022 16:45,115.257,115.275,115.204,115.227,-3,-0.03
02/04/2022 17:00,115.226,115.228,115.168,115.188,-3.8,-0.03
02/04/2022 17:15,115.19,115.209,115.177,115.196,0.6,0.01
02/04/2022 17:30,115.192,115.199,115.16,115.192,0,0
02/04/2022 17:45,115.192,115.248,115.188,115.245,5.3,0.05
02/04/2022 18:00,115.249,115.258,115.187,115.191,-5.8,-0.05
02/04/2022 18:15,115.192,115.236,115.19,115.222,3,0.03
02/04/2022 18:30,115.222,115.248,115.22,115.23,0.8,0.01
02/04/2022 18:45,115.231,115.252,115.218,115.235,0.4,0
02/04/2022 19:00,115.231,115.231,115.174,115.185,-4.6,-0.04
02/04/2022 19:15,115.186,115.217,115.18,115.203,1.7,0.01
02/04/2022 19:30,115.204,115.223,115.199,115.218,1.4,0.01
02/04/2022 19:45,115.219,115.26,115.214,115.258,3.9,0.03
02/04/2022 20:00,115.262,115.267,115.22,115.223,-3.9,-0.03
02/04/2022 20:15,115.22,115.231,115.191,115.205,-1.5,-0.01
02/04/2022 20:30,115.209,115.21,115.185,115.21,0.1,0
02/04/2022 20:45,115.207,115.209,115.173,115.19,-1.7,-0.01
02/04/2022 21:00,115.189,115.2,115.177,115.199,1,0.01
02/04/2022 21:15,115.198,115.212,115.193,115.208,1,0.01
02/04/2022 21:30,115.204,115.207,115.195,115.195,-0.9,-0.01
02/04/2022 21:45,115.192,115.203,115.179,115.184,-0.8,-0.01
02/06/2022 22:00,115.256,115.291,115.254,115.286,3,0.03
02/06/2022 22:15,115.284,115.308,115.271,115.302,1.8,0.02
02/06/2022 22:30,115.304,115.309,115.277,115.28,-2.4,-0.02
02/06/2022 22:45,115.275,115.283,115.261,115.269,-0.6,-0.01
02/06/2022 23:00,115.273,115.319,115.245,115.291,1.8,0.02
02/06/2022 23:15,115.298,115.304,115.272,115.29,-0.8,-0.01
02/06/2022 23:30,115.291,115.293,115.252,115.253,-3.8,-0.03
02/06/2022 23:45,115.251,115.255,115.221,115.229,-2.2,-0.02
02/07/2022 00:00,115.232,115.264,115.16,115.184,-4.8,-0.04
02/07/2022 00:15,115.178,115.2,115.139,115.156,-2.2,-0.02
02/07/2022 00:30,115.157,115.226,115.157,115.195,3.8,0.03
02/07/2022 00:45,115.199,115.26,115.139,115.246,4.7,0.04
02/07/2022 01:00,115.243,115.286,115.234,115.276,3.3,0.03
02/07/2022 01:15,115.275,115.304,115.261,115.262,-1.3,-0.01
02/07/2022 01:30,115.263,115.332,115.262,115.29,2.7,0.02
02/07/2022 01:45,115.29,115.336,115.261,115.293,0.3,0
02/07/2022 02:00,115.297,115.329,115.286,115.324,2.7,0.02
02/07/2022 02:15,115.323,115.343,115.312,115.324,0.1,0
02/07/2022 02:30,115.323,115.323,115.269,115.269,-5.4,-0.05
02/07/2022 02:45,115.268,115.293,115.25,115.292,2.4,0.02
02/07/2022 03:00,115.294,115.318,115.264,115.315,2.1,0.02
02/07/2022 03:15,115.318,115.321,115.286,115.294,-2.4,-0.02
02/07/2022 03:30,115.291,115.321,115.282,115.314,2.3,0.02
02/07/2022 03:45,115.313,115.316,115.279,115.299,-1.4,-0.01
02/07/2022 04:00,115.302,115.302,115.267,115.281,-2.1,-0.02
02/07/2022 04:15,115.281,115.302,115.275,115.287,0.6,0.01
02/07/2022 04:30,115.285,115.292,115.271,115.274,-1.1,-0.01
02/07/2022 04:45,115.28,115.309,115.273,115.274,-0.6,-0.01
02/07/2022 05:00,115.275,115.324,115.263,115.324,4.9,0.04
02/07/2022 05:15,115.323,115.38,115.321,115.352,2.9,0.03
02/07/2022 05:30,115.349,115.367,115.344,115.354,0.5,0
02/07/2022 05:45,115.352,115.353,115.311,115.344,-0.8,-0.01
02/07/2022 06:00,115.344,115.345,115.289,115.292,-5.2,-0.05
02/07/2022 06:15,115.298,115.317,115.294,115.295,-0.3,0
02/07/2022 06:30,115.296,115.342,115.296,115.337,4.1,0.04
02/07/2022 06:45,115.335,115.349,115.314,115.346,1.1,0.01
02/07/2022 07:00,115.344,115.352,115.28,115.3,-4.4,-0.04
02/07/2022 07:15,115.296,115.299,115.195,115.227,-6.9,-0.06
02/07/2022 07:30,115.23,115.283,115.227,115.275,4.5,0.04
02/07/2022 07:45,115.275,115.282,115.236,115.257,-1.8,-0.02
02/07/2022 08:00,115.257,115.257,115.194,115.214,-4.3,-0.04
02/07/2022 08:15,115.213,115.222,115.114,115.12,-9.3,-0.08
02/07/2022 08:30,115.121,115.158,115.055,115.064,-5.7,-0.05
02/07/2022 08:45,115.066,115.105,115.038,115.101,3.5,0.03
02/07/2022 09:00,115.097,115.151,115.093,115.107,1,0.01
02/07/2022 09:15,115.111,115.115,115.008,115.031,-8,-0.07
02/07/2022 09:30,115.028,115.056,114.966,115.024,-0.4,0
02/07/2022 09:45,115.025,115.07,115.016,115.021,-0.4,0
02/07/2022 10:00,115.022,115.069,115,115.069,4.7,0.04
02/07/2022 10:15,115.072,115.085,115.044,115.069,-0.3,0
02/07/2022 10:30,115.065,115.083,115.026,115.028,-3.7,-0.03
02/07/2022 10:45,115.03,115.043,114.976,115.016,-1.4,-0.01
02/07/2022 11:00,115.013,115.042,114.993,115.005,-0.8,-0.01
02/07/2022 11:15,115.003,115.006,114.942,114.967,-3.6,-0.03
02/07/2022 11:30,114.967,114.975,114.914,114.928,-3.9,-0.03
02/07/2022 11:45,114.931,114.971,114.919,114.948,1.7,0.01
02/07/2022 12:00,114.948,114.985,114.915,114.979,3.1,0.03
02/07/2022 12:15,114.975,115.021,114.957,114.997,2.2,0.02
02/07/2022 12:30,114.997,115.005,114.97,114.978,-1.9,-0.02
02/07/2022 12:45,114.981,114.981,114.923,114.968,-1.3,-0.01
02/07/2022 13:00,114.967,114.979,114.923,114.955,-1.2,-0.01
02/07/2022 13:15,114.952,115.014,114.947,115.009,5.7,0.05
02/07/2022 13:30,115.007,115.091,115.001,115.079,7.2,0.06
02/07/2022 13:45,115.079,115.126,115.069,115.096,1.7,0.01
02/07/2022 14:00,115.098,115.142,115.065,115.105,0.7,0.01
02/07/2022 14:15,115.101,115.143,115.1,115.116,1.5,0.01
02/07/2022 14:30,115.114,115.119,115.062,115.078,-3.6,-0.03
02/07/2022 14:45,115.077,115.099,115.049,115.061,-1.6,-0.01
02/07/2022 15:00,115.06,115.078,115.002,115.017,-4.3,-0.04
02/07/2022 15:15,115.017,115.023,114.976,115.003,-1.4,-0.01
02/07/2022 15:30,115,115.047,115,115.026,2.6,0.02
02/07/2022 15:45,115.03,115.097,115.01,115.058,2.8,0.02
02/07/2022 16:00,115.055,115.103,115.028,115.097,4.2,0.04
02/07/2022 16:15,115.099,115.099,115.035,115.048,-5.1,-0.04
02/07/2022 16:30,115.046,115.089,115,115.071,2.5,0.02
02/07/2022 16:45,115.07,115.118,115.061,115.097,2.7,0.02
02/07/2022 17:00,115.098,115.14,115.09,115.136,3.8,0.03
02/07/2022 17:15,115.133,115.146,115.112,115.145,1.2,0.01
02/07/2022 17:30,115.146,115.153,115.132,115.15,0.4,0
02/07/2022 17:45,115.152,115.181,115.15,115.166,1.4,0.01
02/07/2022 18:00,115.163,115.166,115.124,115.128,-3.5,-0.03
02/07/2022 18:15,115.125,115.14,115.118,115.132,0.7,0.01
02/07/2022 18:30,115.134,115.144,115.121,115.138,0.4,0
02/07/2022 18:45,115.137,115.137,115.115,115.117,-2,-0.02
02/07/2022 19:00,115.116,115.136,115.11,115.116,0,0
02/07/2022 19:15,115.114,115.122,115.091,115.101,-1.3,-0.01
02/07/2022 19:30,115.099,115.101,115.066,115.08,-1.9,-0.02
02/07/2022 19:45,115.085,115.093,115.064,115.072,-1.3,-0.01
02/07/2022 20:00,115.067,115.072,115.052,115.071,0.4,0
02/07/2022 20:15,115.074,115.075,115.054,115.056,-1.8,-0.02
02/07/2022 20:30,115.058,115.077,115.056,115.073,1.5,0.01
02/07/2022 20:45,115.071,115.105,115.053,115.104,3.3,0.03
02/07/2022 21:00,115.108,115.108,115.068,115.088,-2,-0.02
02/07/2022 21:15,115.087,115.111,115.084,115.1,1.3,0.01
02/07/2022 21:30,115.098,115.102,115.088,115.089,-0.9,-0.01
02/07/2022 21:45,115.091,115.101,115.088,115.097,0.6,0.01
02/07/2022 22:00,115.087,115.112,115.04,115.063,-2.4,-0.02
02/07/2022 22:15,115.062,115.099,115.062,115.09,2.8,0.02
02/07/2022 22:30,115.088,115.095,115.079,115.086,-0.2,0
02/07/2022 22:45,115.089,115.099,115.078,115.087,-0.2,0
02/07/2022 23:00,115.093,115.095,115.054,115.091,-0.2,0
