INFO 2022-12-19 16:30:02,759 Symbol:  ETHUSD | Position:   59 | close price:  1186.62 | Side:  BUY 🟢 | Profits: -33196.10 | Quantity:    1 🤑
INFO 2022-12-19 16:31:04,832 Symbol:  ETHUSD | Position:   60 | close price:  1187.17 | Side:  BUY 🟢 | Profits: -34383.27 | Quantity:    1 🤑
INFO 2022-12-19 16:32:02,902 Symbol:  ETHUSD | Position:   61 | close price:  1187.26 | Side:  BUY 🟢 | Profits: -35570.53 | Quantity:    1 🤑
INFO 2022-12-19 16:33:04,088 Symbol:  ETHUSD | Position:   62 | close price:  1186.92 | Side:  BUY 🟢 | Profits: -36757.45 | Quantity:    1 🤑
INFO 2022-12-19 16:34:01,794 Symbol:  ETHUSD | Position:   63 | close price:  1186.42 | Side:  BUY 🟢 | Profits: -37943.87 | Quantity:    1 🤑
INFO 2022-12-19 16:35:01,308 Symbol:  ETHUSD | Position:   64 | close price:  1186.57 | Side:  BUY 🟢 | Profits: -39130.44 | Quantity:    1 🤑
INFO 2022-12-19 16:36:00,705 Symbol:  ETHUSD | Position:   65 | close price:  1186.49 | Side:  BUY 🟢 | Profits: -40316.93 | Quantity:    1 🤑
INFO 2022-12-19 16:37:01,082 Symbol:  ETHUSD | Position:   66 | close price:  1186.85 | Side:  BUY 🟢 | Profits: -41503.78 | Quantity:    1 🤑
INFO 2022-12-19 16:38:00,613 Symbol:  ETHUSD | Position:   67 | close price:  1186.75 | Side:  BUY 🟢 | Profits: -42690.53 | Quantity:    1 🤑
INFO 2022-12-19 16:39:03,751 Symbol:  ETHUSD | Position:   68 | close price:  1187.67 | Side: SELL 🔴 | Profits: -41502.86 | Quantity:    1 💵
INFO 2022-12-19 16:40:01,783 Symbol:  ETHUSD | Position:   67 | close price:  1187.67 | Side: SELL 🔴 | Profits: -40315.19 | Quantity:    1 💵
INFO 2022-12-19 16:41:01,024 Symbol:  ETHUSD | Position:   66 | close price:  1187.75 | Side: SELL 🔴 | Profits: -39127.44 | Quantity:    1 💵
INFO 2022-12-19 16:42:00,206 Symbol:  ETHUSD | Position:   65 | close price:  1187.89 | Side: SELL 🔴 | Profits: -37939.55 | Quantity:    1 💵
INFO 2022-12-19 16:43:00,492 Symbol:  ETHUSD | Position:   64 | close price:  1187.26 | Side: SELL 🔴 | Profits: -36752.29 | Quantity:    1 💵
INFO 2022-12-19 16:44:00,703 Symbol:  ETHUSD | Position:   63 | close price:  1186.73 | Side: SELL 🔴 | Profits: -35565.56 | Quantity:    1 💵
INFO 2022-12-19 16:45:00,967 Symbol:  ETHUSD | Position:   62 | close price:  1186.76 | Side: SELL 🔴 | Profits: -34378.80 | Quantity:    1 💵
INFO 2022-12-19 16:46:01,178 Symbol:  ETHUSD | Position:   61 | close price:  1186.48 | Side: SELL 🔴 | Profits: -33192.32 | Quantity:    1 💵
INFO 2022-12-19 16:47:00,371 Symbol:  ETHUSD | Position:   60 | close price:  1186.26 | Side: SELL 🔴 | Profits: -32006.06 | Quantity:    1 💵
